Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),City,IsCondo,Latitude,Longitude
22805000.0,1.0,1.0,70.0,0.0,Pasig,1,14.575822,121.064324
22868000.0,1.0,1.0,67.0,0.0,Pasig,1,14.575822,121.064324
20712000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
22561000.0,1.0,1.0,65.0,0.0,Pasig,1,14.575822,121.064324
10359000.0,1.0,1.0,33.0,0.0,Pasig,1,14.575822,121.064324
9033375.0,1.0,1.0,42.0,0.0,Lapu-Lapu,1,10.3051555,124.0112408
10733775.0,1.0,1.0,50.0,0.0,Lapu-Lapu,1,10.3051555,124.0112408
10239286.0,3.0,1.0,57.0,0.0,Davao,1,7.0928915,125.6056916
8011000.0,4.0,0.0,85.0,199.0,Tayabas,0,13.962775,121.564527
11553000.0,5.0,0.0,166.0,251.0,Tayabas,0,13.962775,121.564527
2958000.0,2.0,0.0,40.0,63.0,Balanga,0,14.666375,120.54822
2936000.0,2.0,0.0,36.0,63.0,Balanga,0,14.666375,120.54822
8407000.0,5.0,0.0,142.0,143.0,San Jose del Monte,0,14.8450503,121.0612785
16806000.0,2.0,2.0,84.0,0.0,Mandaluyong,1,14.578255,121.052143
17641900.0,2.0,2.0,74.0,0.0,Pasig,1,14.583771,121.059675
28344000.0,0.0,0.0,101.0,0.0,Pasig,1,14.587964,121.079045
8034705.0,1.0,1.0,33.0,0.0,Mandaluyong,1,14.578255,121.052143
6363100.0,2.0,1.0,35.0,0.0,Quezon City,1,14.68155,121.0198
22176571.0,3.0,3.0,128.0,0.0,Cebu,1,10.315,123.90593065695
5692980.0,3.0,0.0,73.0,140.0,Dasmarinas,0,14.287385,120.964753
9833600.0,1.0,1.0,46.0,0.0,Pasig,1,14.583771,121.059675
14488740.0,1.0,1.0,57.0,0.0,Mandaluyong,1,14.592173,121.053333
15800000.0,3.0,0.0,160.0,120.0,Cebu,0,10.36171,123.911374
8824800.0,3.0,2.0,76.0,0.0,Muntinlupa,1,14.434669,121.040194
4668600.0,2.0,1.0,58.0,0.0,Muntinlupa,1,14.434669,121.040194
3900000.0,1.0,1.0,22.0,0.0,Pasig,1,14.565391,121.06934
7900000.0,2.0,2.0,88.0,0.0,Tagaytay,1,14.119975,120.95476
6363100.0,2.0,1.0,35.0,0.0,Quezon City,1,14.68155,121.0198
5187000.0,1.0,1.0,30.0,0.0,Bacolod,1,10.6877926,122.9747478
28096000.0,0.0,0.0,101.0,0.0,Pasig,1,14.587964,121.079045
2926950.0,1.0,1.0,39.0,0.0,Cebu,1,10.36171,123.911374
2515625.0,1.0,1.0,30.0,0.0,Muntinlupa,1,14.434669,121.040194
15492000.0,1.0,0.0,53.0,0.0,Pasig,1,14.588882,121.079016
3800000.0,1.0,1.0,30.0,0.0,Quezon City,1,14.60892,121.0798
3300000.0,1.0,1.0,33.0,0.0,Baguio,1,16.419598,120.626852
3775000.0,4.0,0.0,80.0,120.0,Tanauan,0,14.0661817,121.1567437
2963760.0,1.0,1.0,24.0,0.0,Quezon City,1,14.631613,121.023475
10000000.0,2.0,3.0,54.0,0.0,San Juan,1,13.740708,121.428014
850000.0,2.0,0.0,35.0,50.0,Ozamiz,0,8.14369,123.813471
4600000.0,2.0,1.0,35.0,0.0,Baguio,1,16.39936,120.581264
17776242.0,2.0,2.0,108.0,0.0,Cebu,1,10.315,123.90592649203
6423156.0,1.0,1.0,27.0,0.0,Mandaluyong,1,14.592173,121.053333
7500000.0,2.0,1.0,53.0,0.0,Mandaluyong,1,14.571604,121.031359
2515625.0,1.0,1.0,30.0,0.0,Muntinlupa,1,14.434669,121.040194
6500000.0,2.0,1.0,48.0,0.0,Las Pinas,1,14.446596,120.987165
4900000.0,2.0,1.0,39.0,0.0,Manila,1,14.590526,120.985482
3702460.0,1.0,1.0,32.0,0.0,Davao,1,7.0867489,125.5840299
2810000.0,1.0,1.0,24.0,0.0,Cebu,1,10.3058395,123.8908567
3500000.0,1.0,1.0,22.0,0.0,Baguio,1,16.39936,120.581264
2515625.0,1.0,1.0,30.0,0.0,Muntinlupa,1,14.434669,121.040194
14600000.0,3.0,2.0,112.0,0.0,Quezon City,1,14.646511,120.996952
10281600.0,2.0,2.0,70.0,0.0,Pasay,1,14.55323,120.990226
3702460.0,1.0,1.0,32.0,0.0,Davao,1,7.0867489,125.5840299
5526622.0,2.0,2.0,58.0,0.0,Las Pinas,1,14.4324914,121.0140532
5200000.0,1.0,1.0,32.0,0.0,Cainta,1,14.583362,121.130727
3678000.0,1.0,1.0,23.0,0.0,Bacolod,1,10.6877926,122.9747478
2600000.0,1.0,1.0,22.0,0.0,Las Pinas,1,14.446596,120.987165
4200000.0,2.0,1.0,40.0,0.0,Binan,1,14.322713,121.0892395
9600000.0,2.0,2.0,83.0,0.0,Quezon City,1,14.646511,120.996952
3110000.0,1.0,1.0,33.0,0.0,Cebu,1,10.36171,123.911374
68160000.0,0.0,0.0,1136.0,0.0,San Fernando,1,15.16305,120.729066
5500000.0,2.0,1.0,54.0,0.0,Pasig,1,14.601887,121.093698
8876973.0,1.0,1.0,37.0,0.0,Pasig,1,14.583771,121.059675
2925600.0,3.0,0.0,60.0,80.0,Calamba,0,14.176345,121.122173
3000000.0,1.0,1.0,28.0,0.0,Binan,1,14.322713,121.0892395
18525000.0,3.0,2.0,195.0,0.0,Binan,1,14.2923053,121.0810444
5234791.0,3.0,0.0,75.0,112.0,Imus,0,14.4234269,120.9289746
3811333.0,1.0,1.0,41.0,0.0,Quezon City,1,14.640624,121.076504
